FAULT SITE	FAULTY FANOUT	SAF VALUE
557		0		1
628		1		0
614		1		1
176		1		1
249		1		1
578		1		1
558		2		0
5		1		0
29		0		0
406		1		1
482		0		1
561		3		0
342		2		0
438		1		0
638		1		1
319		0		1
597		0		0
12		2		0
266		0		0
30		0		1
541		3		1
447		1		1
338		0		0
236		0		0
310		0		0
76		1		1
431		1		0
386		1		0
434		1		0
93		0		0
123		1		0
432		2		1
374		0		0
97		1		0
64		1		0
143		1		1
440		0		0
126		1		0
121		0		1
437		1		0
462		1		0
601		3		0
87		0		0
160		0		0
460		0		0
347		0		1
55		1		1
432		1		0
558		3		0
36		1		1
510		0		0
28		2		1
192		0		0
145		0		0
508		1		0
361		0		0
315		1		0
375		1		1
305		1		0
266		0		1
528		0		1
122		1		1
60		0		1
239		0		1
6		1		1
540		0		0
534		1		1
206		0		1
617		0		0
279		1		1
582		1		0
467		0		1
625		1		1
42		1		0
617		0		1
390		0		0
147		0		1
526		0		0
382		2		1
46		1		1
49		1		0
577		1		1
331		1		1
627		0		1
407		1		0
422		2		0
573		0		0
9		0		0
329		1		1
624		0		0
556		0		1
462		0		0
193		1		0
548		2		0
339		0		0
105		1		1
296		1		0
191		1		0
314		0		1
488		1		1
344		0		1
443		0		1
535		0		0
28		2		0
102		2		1
359		1		1
476		0		1
564		0		0
544		1		1
189		1		1
154		0		0
524		1		0
626		1		1
149		0		0
434		1		0
532		2		0
328		1		1
325		1		1
640		0		1
335		0		0
246		1		1
464		1		0
519		0		1
467		0		1
478		1		1
592		0		0
422		0		0
157		1		1
457		0		1
50		0		1
634		1		0
539		0		0
3		0		1
66		0		1
69		1		0
615		1		1
610		0		1
96		1		1
253		0		1
67		0		0
118		1		1
594		1		1
401		1		1
634		0		1
63		1		0
86		0		1
567		0		0
73		1		0
254		0		0
151		2		0
438		0		1
74		1		1
321		0		0
571		1		1
245		1		1
24		0		1
418		3		0
173		1		0
532		3		1
113		0		1
524		1		0
490		0		1
537		0		1
598		3		1
79		1		0
266		0		0
575		0		0
165		1		1
471		2		1
388		2		0
493		0		0
429		0		0
439		1		0
164		0		1
461		2		1
395		0		0
354		1		0
160		0		0
24		0		1
517		0		0
56		1		0
194		0		0
532		0		0
158		3		1
417		1		1
113		0		1
74		0		0
4		0		1
62		2		1
21		2		1
368		0		1
601		2		1
620		0		0
585		1		1
308		1		0
171		1		1
465		0		0
175		1		0
406		0		1
19		0		1
185		0		1
407		1		1
180		0		1
317		1		1
146		0		0
633		0		0
348		1		1
328		3		1
284		1		0
377		1		1
103		0		1
185		0		0
613		0		1
26		1		0
24		0		0
366		0		0
236		1		0
608		1		0
512		1		1
215		0		0
581		2		1
488		2		0
196		1		1
120		0		0
595		1		0
153		1		0
417		0		0
421		0		0
75		1		1
49		1		0
436		1		1
248		0		1
318		1		1
358		0		0
424		0		0
515		1		1
366		1		1
489		1		0
577		0		1
534		1		1
99		0		1
282		3		1
310		0		1
548		0		1
289		1		1
626		0		1
474		0		0
131		2		0
210		0		1
222		0		0

